apg 2.2.3-5
asusctl 6.3.8-1
byobu 7.11-1
catppuccin-gtk-theme-mocha 1.0.3-1
cbonsai 1.4.2-1
ccze 0.2.1-13
claude-desktop-bin 1.14271.0-2
eww 0.6.0-1
freetube-bin 0.24.1-1
graphite-gtk-theme 2025.07.06-1
hollywood 1.25-1
librewolf-bin 1:152.0.1_2-1
nudoku 8.0.0-1
oneko 1.2.5-6
paru 2.1.0-2
paru-debug 2.1.0-2
peaclock 0.4.3-2
phoneinfoga-bin 2.11.0-2
pipes.sh 1.3.0-1
python-torrequest 0.1.0-4
rig 1.11-1
rog-control-center 6.3.8-1
sherlock 0.16.0-5
speedometer 2.9-3
swayosd-git 0.3.1.r13.ge292951-1
wlogout 1.2.2-0
